Node Count,Requested Duration,Actual Duration
208,43200,43221
2304,9000,6715
2304,9000,7481
2304,9000,998
2304,9000,551
2304,9000,438
2304,9000,542
512,28800,28806
512,28800,28824
2304,9000,546
2304,9000,394
160,21600,21370
160,21600,21627
160,21600,21402
120,21600,21624
2304,9000,473
2304,9000,442
32,7200,5632
32,7200,4812
32,7200,4940
32,7200,5278
2048,7200,7224
2304,9000,495
150,21600,20780
2304,9000,415
200,14400,13904
200,14400,14415
200,14400,14145
200,14400,14009
300,14400,13308
300,14400,13177
2304,9000,490
2304,9000,657
320,43200,22794
320,43200,6311
60,6300,3664
60,6300,3668
60,6300,3658
2048,1500,1076
183,21600,68
183,21600,106
183,21600,100
183,21600,64
183,21600,130
183,21600,130
183,21600,2
183,21600,2
183,21600,3
256,43200,39330
256,43200,43214
100,21600,6923
100,21600,7453
100,21600,21617
100,21600,21606
100,21600,884
100,21600,21609
100,21600,21617
100,21600,21606
100,21600,21612
100,21600,21605
100,21600,21621
100,21600,4934
100,21600,4831
100,21600,5007
100,21600,5244
100,21600,5161
100,21600,5098
183,21600,14428
100,21600,5025
100,21600,5605
100,21600,21617
100,21600,21617
100,21600,7415
100,21600,21606
100,21600,5599
100,21600,5305
100,21600,6768
100,21600,19454
100,21600,21611
100,21600,5770
100,21600,5557
100,21600,3637
100,21600,5428
100,21600,5688
100,21600,19153
100,21600,5210
100,21600,5634
100,21600,5743
183,21600,21609
256,43200,38388
448,14400,8815
18,7200,7218
18,7200,7215
18,7200,965
2,7200,7226
2,7200,7204
2,7200,7225
2,7200,7217
2,7200,7220
2,7200,7214
2,7200,7221
2,7200,7200
256,43200,11462
256,43200,5626
256,43200,13073
256,43200,13496
768,18000,218
384,14400,13796
200,14400,13900
200,14400,13912
200,14400,14406
200,14400,14163
105,21600,21621
1920,7200,7219
8,7200,6804
10,7200,6952
10,7200,6955
96,9000,7506
96,9000,7538
30,7200,6404
2,7200,4231
4,7200,7220
30,7200,6358
30,7200,6355
30,7200,6523
2,7200,6970
8,7200,7210
30,7200,6415
184,21600,7600
4,7200,7225
2,7200,7225
30,7200,7200
30,7200,7200
3,2400,382
30,7200,7200
2,7200,1882
20,3600,477
8,7200,242
10,7200,242
2304,9000,480
8,7200,146
10,7200,153
10,3600,850
8,7200,2298
10,7200,2213
40,7200,1241
40,7200,731
30,7200,6490
100,7200,1004
200,10800,1023
18,7200,7208
18,7200,7229
18,7200,7205
18,7200,7226
18,7200,7217
18,7200,7209
18,7200,7220
18,7200,7202
18,7200,7223
10,7200,773
2,7200,94
2,7200,189
10,7200,7005
64,3000,1147
30,7200,6610
30,7200,6505
30,7200,6582
18,7200,7206
18,7200,7205
18,7200,7202
18,7200,7215
18,7200,7230
18,7200,7219
18,7200,7212
18,7200,7227
18,7200,7215
2,7200,7001
8,7200,6795
80,7200,59
2,7200,2239
80,7200,7213
80,7200,7217
80,7200,34
80,7200,7203
80,7200,7212
2,7200,6583
2,7200,7068
4,7200,16
2,7200,14
10,7200,1572
2,7200,6999
2,7200,18
2,7200,7219
4,7200,7221
10,7200,6913
2048,1500,1516
80,7200,7205
80,7200,7205
80,7200,7211
80,7200,7219
2304,9000,588
2,7200,7200
320,43200,6133
2304,9000,499
40,7200,5013
40,7200,5187
40,7200,5064
40,7200,5036
15,7200,985
16,5400,4094
32,5400,5424
40,1800,25
120,10800,3943
40,1800,766
160,10800,10729
2304,9000,447
8,5400,5425
18,300,190
18,300,324
10,1200,45
60,6300,6311
60,6300,5229
60,6300,4662
60,6300,4647
60,6300,4653
60,6300,15
60,6300,4682
60,6300,4629
60,6300,4697
18,300,278
27,3600,1631
18,300,306
32,7200,3673
32,7200,22
32,7200,7205
32,7200,3668
32,7200,7210
32,7200,3688
32,7200,7220
32,7200,625
32,7200,7229
32,7200,7229
32,7200,7229
32,7200,7228
32,7200,7228
32,7200,531
32,7200,674
32,7200,541
32,7200,551
32,7200,7228
32,7200,7228
32,7200,7228
32,7200,7228
32,7200,7228
18,300,318
40,7200,7229
40,7200,7229
40,7200,7229
40,7200,7229
40,7200,7228
40,7200,7205
40,7200,7205
40,7200,7205
40,7200,7205
40,7200,7205
40,7200,7205
40,7200,7205
40,7200,7205
40,7200,5539
40,7200,2133
40,7200,7207
40,7200,7207
40,7200,7207
40,7200,7213
40,7200,7218
40,7200,7212
40,7200,7212
40,7200,7217
40,7200,7217
40,7200,6396
40,7200,6551
40,7200,6590
40,7200,6385
40,7200,6362
40,7200,6232
40,7200,7102
40,7200,7211
40,7200,7211
40,7200,6092
40,7200,4285
40,7200,7214
40,7200,5530
40,7200,6558
40,7200,5495
40,7200,7218
40,7200,5295
40,7200,4639
40,7200,4771
40,7200,7221
40,7200,5594
40,7200,4870
40,7200,6935
40,7200,5343
40,7200,5070
40,7200,5446
40,7200,302
40,7200,4206
40,7200,6935
40,7200,4643
40,7200,6716
40,7200,6031
40,7200,6547
40,7200,5742
40,7200,4625
40,7200,5506
40,7200,3312
40,7200,5240
40,7200,6127
40,7200,5975
40,7200,6692
40,7200,6347
40,7200,6001
40,7200,4630
40,7200,5704
40,7200,5083
40,7200,5274
40,7200,3724
40,7200,4146
40,7200,4756
40,7200,3717
40,7200,4539
40,7200,4741
40,7200,3433
40,7200,3258
40,7200,3919
32,7200,7207
32,7200,7207
32,7200,7207
32,7200,7207
32,7200,7212
32,7200,7212
32,7200,7212
32,7200,7212
32,7200,302
32,7200,7228
32,7200,7200
32,7200,7200
32,7200,7219
32,7200,7218
32,7200,7218
32,7200,2144
27,3600,1303
18,600,608
32,7200,3326
32,7200,3316
32,7200,3272
32,7200,3152
32,7200,2980
32,7200,2919
32,7200,2859
32,7200,2856
32,7200,1882
32,7200,1744
32,7200,1716
32,7200,1838
32,7200,1053
32,7200,1051
32,7200,1046
32,7200,1056
32,7200,996
32,7200,1001
32,7200,1004
32,7200,1298
32,7200,1004
60,7200,7229
20,1200,193
3,1200,713
32,5400,5403
27,3600,137
3,1200,436
20,1200,127
3,1200,124
3,1200,105
27,3600,1103
3,7200,264
20,7200,6962
105,21600,21625
18,7200,7207
27,3600,116
2,7200,261
18,600,431
2,7200,464
27,3600,3628
128,21600,4620
80,7200,2653
32,7200,5
2,7200,108
2,7200,9
2,7200,550
2048,1500,1503
2,7200,33
8,1800,71
2,7200,7223
8,1800,94
92,14400,105
18,7200,7230
18,7200,7207
18,7200,7214
18,7200,7224
40,7200,113
2304,9000,453
2,7200,7215
40,7200,216
2304,9000,390
40,7200,636
92,14400,103
128,7200,2697
2304,9000,467
2304,9000,513
300,5400,1331
2304,9000,340
384,14400,10167
4,7200,7225
2,7200,7205
2304,9000,488
2304,9000,345
256,7200,77
2304,9000,463
300,5400,3066
128,7200,405
2304,9000,384
1920,7200,7218
2304,9000,483
2304,9000,425
2,7200,7221
2,7200,1116
32,3600,128
64,3600,1128
32,3600,1464
60,7200,7203
144,21600,1802
160,3600,1770
2,7200,6981
8,3600,1524
4,3600,653
4,7200,7212
2,7200,7212
225,7200,3914
2,7200,2861
192,3600,1703
8,7200,75
1920,7200,7215
2,7200,6982
2,7200,3274
32,7200,563
10,7200,4604
128,7200,1237
97,7200,1267
335,21600,2281
4,7200,7209
2,7200,7217
100,7200,546
3,1200,415
128,21600,4616
10,7200,2255
18,600,287
3,1200,413
18,600,166
3,1200,411
3,1200,416
3,7200,51
15,7200,13
4,900,7
4000,43200,1994
5920,43200,25271
208,43200,43221
1500,43200,35311
160,21600,21366
160,21600,21392
6144,43200,7102
18,7200,7214
320,43200,43220
512,43200,43216
60,6300,4730
60,6300,4637
60,6300,4773
60,6300,4678
60,6300,6308
60,6300,4674
60,6300,4938
60,6300,4663
18,7200,7218
320,43200,57
320,43200,56
320,43200,58
768,18000,18027
320,43200,13722
2304,9000,621
200,43200,347
2304,9000,621
2304,9000,408
144,21600,21609
2048,7200,7207
200,14400,13977
200,14400,14089
200,14400,12901
100,7200,6915
100,7200,6890
100,7200,6898
100,7200,7211
100,7200,6892
100,7200,6888
92,14400,7947
10,7200,6935
2,7200,6852
128,7200,709
97,7200,581
128,21600,21609
3,7200,7126
15,7200,7206
300,5400,2193
4,900,777
4,7200,7200
2,7200,7200
4,900,921
144,21600,3366
2,7200,3529
2,7200,3455
10,7200,1664
4,7200,7210
2,7200,7210
10,7200,1148
10,7200,1149
105,21600,21613
2,7200,6853
18,7200,7208
18,7200,7204
18,7200,7218
18,7200,7226
18,7200,7228
4,7200,7228
2,7200,7203
2,7200,7009
2,7200,6494
10,7200,6929
10,7200,6956
10,7200,6916
144,21600,21611
2,7200,7008
2048,1500,1032
2,7200,7201
2,7200,7212
2,7200,7224
2,7200,7228
2,7200,7202
2,7200,7205
2,7200,7228
128,21600,3820
4,7200,1723
32,7200,6665
32,7200,5404
32,7200,5445
32,7200,5559
32,7200,4837
32,7200,6456
32,7200,6623
32,7200,5386
32,7200,3268
2048,1500,1032
32,7200,5241
32,7200,5592
32,7200,5329
32,7200,5128
18,7200,7216
18,7200,7218
2,7200,7205
32,7200,6688
32,7200,5178
32,7200,5269
32,7200,6236
32,7200,4223
